INSTITUTO TOMAS MORO - SEDE PRINCIPAL;Teusaquillo;A;NO OFICIAL;50;47;44;44;44;230;;
POLITECNICA COLOMBIANA (ANTES ESCUELA COLOMBIANA DE SISTEMAS)  - SEDE PRINCIPAL;Usme;A;NO OFICIAL;56;50;50;46;54;254;;
POLITECNICA COLOMBIANA (ANTES ESCUELA COLOMBIANA DE SISTEMAS)  - SEDE PRINCIPAL;Sumapaz;A;NO OFICIAL;52;46;46;46;52;239;;
COL JORDAN DE SAJONIA                                                                               ;Usaquén;A;NO OFICIAL;66;67;61;64;76;327;;
INST TEC DIST DOMINGO FAUSTINO SARMIENTO;Fontibón;A;OFICIAL;53;50;49;49;52;252;;
CENT EDUC DIST GRAN YOMASA;Puente Aranda;A;OFICIAL;52;48;47;48;48;243;;
COLEGIO EMMANUEL;Barrios Unidos;A;NO OFICIAL;63;57;58;56;64;295;;
COLEGIO SAN ÁNGEL SALITRE (ANTIGUO COLEGIO SAN ÁNGEL) - SEDE PRINCIPAL;Capinero;A;NO OFICIAL;61;57;58;56;71;295;;
CEDID CIUDAD BOLIVAR;San Cristobal;A;OFICIAL;45;41;40;41;40;208;;
COL BOGOTANO MIXTO                                                                                  ;Teusaquillo;A;NO OFICIAL;45;38;35;36;41;193;;
CENTRO DE ESTUDIOS SAN BASILIO - SEDE PRINCIPAL;Kennedy;A;NO OFICIAL;46;43;38;42;42;211;;
COLEGIO CIES - SEDE PRINCIPAL;Bosa;A;NO OFICIAL;49;48;45;44;44;232;;
CENT EDUC DIST ATENAS;Ciudad Bolívar;A;OFICIAL;51;49;44;48;51;241;;
CENTRO JOHANN KEPLER - SEDE PRINCIPAL;Fontibón;A;NO OFICIAL;46;45;42;44;41;220;;
SEDE B;Rafael Uribe Uribe;A;OFICIAL;57;53;52;52;50;266;;
COL DIST REP DE PANAMA;Santa Fe;A;OFICIAL;53;52;50;50;52;257;;
CENT EDUC DIST SAN CARLOS;Suba;A;OFICIAL;51;47;44;46;47;235;;
COLEGIO PROSPERO PINZON IED - SEDE PRINCIPAL;Antonio Nariño;A;OFICIAL;53;51;48;50;49;252;;
COL DIST GUSTAVO RESTREPO;Rafael Uribe Uribe;A;OFICIAL;56;52;49;51;52;260;;
INSTITUTO EL ROBLE - SEDE PRINCIPAL;Suba;O;NO OFICIAL;54;49;43;50;69;253;;
COLEGIO CENCOSISTEMAS SUBA - SEDE PRINCIPAL;Rafael Uribe Uribe;O;NO OFICIAL;51;49;49;44;58;245;;
COL DIST ANTONIO JOSE URIBE;Barrios Unidos;A;OFICIAL;52;49;47;48;48;245;;
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA;Puente Aranda;A;OFICIAL;53;50;47;49;49;248;;
SEDE EL UVAL;San Cristobal;A;OFICIAL;52;50;46;47;46;243;;
COL DIST ESTRELLA DEL SUR;Los Mártires;A;OFICIAL;48;47;42;44;44;226;;
SEDE NICOLAS BUENAVENTURA (ANTES LAS MERCEDES);Teusaquillo;A;OFICIAL;56;52;50;51;55;262;;
LIC  PSICOPEDAG EL CARMELO;Los Mártires;A;NO OFICIAL;50;47;42;45;46;230;;
CENT EDUC DIST LA CONCORDIA;Suba;A;OFICIAL;54;47;46;47;50;243;;
CENT DE EDUC ROBERT HOOKE;Ciudad Bolívar;A;NO OFICIAL;47;47;38;43;43;218;;
CENT EDUC DIST ALMIRANTE PADILLA;Bosa;A;OFICIAL;47;43;42;43;44;219;;
COLEGIO SUPERIOR PALERMO SANTA ISABEL - SEDE PRINCIPAL;Barrios Unidos;O;NO OFICIAL;49;49;45;47;47;237;;
LIC PARROQ SAN JOSE                                                                                 ;La Candelaria;A;NO OFICIAL;55;55;51;52;54;267;;
COL PARROQ DEL INMACULADO CORAZON DE MARIA;Sumapaz;A;NO OFICIAL;60;60;56;55;59;289;;
COL JUAN RULFO                                                                                      ;Rafael Uribe Uribe;A;NO OFICIAL;58;57;54;51;55;275;;
LIC MARIA NELL                                                                                      ;Engativá;A;NO OFICIAL;64;60;62;59;61;306;;
COLEGIO LA GIRALDA (IED);Fontibón;A;OFICIAL;;;;;52;20;;
COLEGIO SAN JOSE DE USME (IED);La Candelaria;A;OFICIAL;54;54;49;50;49;258;;
COLEGIO GIMNASIO SABIO CALDAS (IED);Puente Aranda;A;OFICIAL;59;59;55;56;57;286;;
COL NAL NICOLAS ESGUERRA;Santa Fe;A;OFICIAL;58;57;53;53;58;277;;
SEDE B;Fontibón;A;OFICIAL;48;46;42;45;47;227;;
CENT EDUC DIST EL LIBERTADOR;Usme;A;OFICIAL;52;50;47;48;51;247;;
COLEGIO TECNISISTEMAS - SEDE PRINCIPAL;Santa Fe;A;NO OFICIAL;54;50;48;48;51;250;;
COLEGIO TECNISISTEMAS - SEDE PRINCIPAL;Sumapaz;A;NO OFICIAL;50;48;45;47;46;237;;
COLEGIO RENE DESCARTES - SEDE PRINCIPAL;San Cristobal;O;NO OFICIAL;47;42;41;43;43;216;;
COL GUSTAVO ROJAS PINILLA                                                                           ;Puente Aranda;A;NO OFICIAL;51;45;44;44;45;230;;
COLEGIO BILINGUE SAN GABRIEL ARCANGEL;Los Mártires;A;NO OFICIAL;70;71;68;64;78;345;;
COL PAE (PROCESO ALTERNATIVO EDUCATIVO)                                                             ;Ciudad Bolívar;A;NO OFICIAL;59;58;55;55;59;285;;
ARETE - SEDE PRINCIPAL;Barrios Unidos;A;NO OFICIAL;58;50;58;55;58;277;;
